Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
652829,8925867,Riftbound: League of Legends Trading Card Game,Origins,Stand United,,053/298,Common,Near Mint,Normal,0.08,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/652829_in_200x200.jpg
652977,8927027,Riftbound: League of Legends Trading Card Game,Origins,Zaunite Bouncer,,188/298,Uncommon,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652977_in_200x200.jpg
652782,8925507,Riftbound: League of Legends Trading Card Game,Origins,Magma Wurm,,011/298,Common,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652782_in_200x200.jpg
652825,8925827,Riftbound: League of Legends Trading Card Game,Origins,Playful Phantom,,049/298,Common,Near Mint,Normal,0.03,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652825_in_200x200.jpg
652866,8926132,Riftbound: League of Legends Trading Card Game,Origins,Jeweled Colossus,,086/298,Common,Near Mint,Normal,0.06,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652866_in_200x200.jpg
652956,8926817,Riftbound: League of Legends Trading Card Game,Origins,Ember Monk,,167/298,Common,Near Mint,Normal,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652956_in_200x200.jpg
652773,8925422,Riftbound: League of Legends Trading Card Game,Origins,Chemtech Enforcer,,003/298,Common,Near Mint,Normal,0.05,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652773_in_200x200.jpg
652785,8925537,Riftbound: League of Legends Trading Card Game,Origins,Sky Splitter,,014/298,Common,Near Mint,Normal,0.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652785_in_200x200.jpg
653031,8927422,Riftbound: League of Legends Trading Card Game,Origins,King's Edict,,237/298,Rare,Near Mint,Foil,0.18,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/653031_in_200x200.jpg
652985,8927072,Riftbound: League of Legends Trading Card Game,Origins,Rhasa the Sunderer,,195/298,Rare,Near Mint,Foil,1.50,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/652985_in_200x200.jpg
